ticker,sector,industry
MYE,Consumer Cyclical,Packaging & Containers
MSGE,Communication Services,Entertainment
UPRO,その他,
EFOI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
JBHT,Industrials,Integrated Freight & Logistics
MUR,Energy,Oil & Gas E&P
CRS,Industrials,Metal Fabrication
ALLO,Healthcare,Biotechnology
AUPH,Healthcare,Biotechnology
GNK,Industrials,Marine Shipping
ELSE,Technology,Scientific & Technical Instruments
ENTG,Technology,Semiconductor Equipment & Materials
VALE,Basic Materials,Other Industrial Metals & Mining
M,Consumer Cyclical,Department Stores
FDX,Industrials,Integrated Freight & Logistics
DAR,Consumer Defensive,Packaged Foods
AMPY,Energy,Oil & Gas E&P
SB,Industrials,Marine Shipping
BKTI,Technology,Communication Equipment
QLD,その他,
IPGP,Technology,Semiconductor Equipment & Materials
EME,Industrials,Engineering & Construction
IRMD,Healthcare,Medical Devices
CVV,Industrials,Specialty Industrial Machinery
INNV,Healthcare,Medical Care Facilities
BKR,Energy,Oil & Gas Equipment & Services
TPR,Consumer Cyclical,Luxury Goods
DY,Industrials,Engineering & Construction
AVGO,Technology,Semiconductors
TK,Energy,Oil & Gas Midstream
ICLN,その他,
MOV,Consumer Cyclical,Luxury Goods
AIR,Industrials,Aerospace & Defense
SRTA,Healthcare,Medical Care Facilities
MGTX,Healthcare,Biotechnology
ALGM,Technology,Semiconductors
PIII,Healthcare,Medical Care Facilities
PYPD,Healthcare,Biotechnology
FCFS,Financial Services,Credit Services
TXN,Technology,Semiconductors
ILMN,Healthcare,Diagnostics & Research
TNK,Energy,Oil & Gas Midstream
TBN,Energy,Oil & Gas E&P
NGS,Energy,Oil & Gas Equipment & Services
PHIN,Consumer Cyclical,Auto Parts
RIO,Basic Materials,Other Industrial Metals & Mining
LXU,Basic Materials,Chemicals
NOV,Energy,Oil & Gas Equipment & Services
TKR,Industrials,Tools & Accessories
KPTI,Healthcare,Biotechnology
MLI,Industrials,Metal Fabrication
PKX,Basic Materials,Steel
GCO,Consumer Cyclical,Apparel Retail
AVT,Technology,Electronics & Computer Distribution
CGEM,Healthcare,Biotechnology
CX,Basic Materials,Building Materials
KFFB,Financial Services,Banks - Regional
NPO,Industrials,Specialty Industrial Machinery
SXI,Industrials,Specialty Industrial Machinery
TRGP,Energy,Oil & Gas Midstream
RCKY,Consumer Cyclical,Footwear & Accessories
SLB,Energy,Oil & Gas Equipment & Services
ATLC,Financial Services,Credit Services
SHOO,Consumer Cyclical,Footwear & Accessories
C,Financial Services,Banks - Diversified
REI,Energy,Oil & Gas E&P
DD,Basic Materials,Specialty Chemicals
NVDY,その他,
DC,Basic Materials,Gold
STAA,Healthcare,Medical Instruments & Supplies
ENVA,Financial Services,Credit Services
AMG,Financial Services,Asset Management
MSBI,Financial Services,Banks - Regional
AMRX,Healthcare,Drug Manufacturers - Specialty & Generic
ORN,Industrials,Engineering & Construction
XPO,Industrials,Trucking
NKTX,Healthcare,Biotechnology
SWBI,Industrials,Aerospace & Defense
BFH,Financial Services,Credit Services
ITRN,Technology,Scientific & Technical Instruments
NVDW,その他,
BHP,Basic Materials,Other Industrial Metals & Mining
ROST,Consumer Cyclical,Apparel Retail
SAIA,Industrials,Trucking
TECK,Basic Materials,Other Industrial Metals & Mining
UFCS,Financial Services,Insurance - Property & Casualty
MCHP,Technology,Semiconductors
CVLG,Industrials,Trucking
BLBD,Industrials,Farm & Heavy Construction Machinery
RPRX,Healthcare,Biotechnology
AIRG,Technology,Communication Equipment
CRUS,Technology,Semiconductors
BWXT,Industrials,Aerospace & Defense
JOUT,Consumer Cyclical,Leisure
GS,Financial Services,Capital Markets
TRST,Financial Services,Banks - Regional
GSL,Industrials,Marine Shipping
HXL,Industrials,Aerospace & Defense
EC,Energy,Oil & Gas Integrated
IBLC,その他,
ADM,Consumer Defensive,Farm Products
OVV,Energy,Oil & Gas E&P
MATX,Industrials,Marine Shipping
TD,Financial Services,Banks - Diversified
SD,Energy,Oil & Gas E&P
UNFI,Consumer Defensive,Food Distribution
BC,Consumer Cyclical,Recreational Vehicles
CHAU,その他,
NXPI,Technology,Semiconductors
NXTG,その他,
PR,Energy,Oil & Gas E&P
R,Industrials,Rental & Leasing Services
KODK,Industrials,Specialty Business Services
KNX,Industrials,Trucking
ESE,Technology,Scientific & Technical Instruments
VCYT,Healthcare,Diagnostics & Research
VMI,Industrials,Conglomerates
HTLD,Industrials,Trucking
TWLO,Technology,Software - Infrastructure
AIRR,その他,
FAI,その他,
STT,Financial Services,Asset Management
HZO,Consumer Cyclical,Specialty Retail
CTRN,Consumer Cyclical,Apparel Retail
HLX,Energy,Oil & Gas Equipment & Services
CFG,Financial Services,Banks - Regional
MPC,Energy,Oil & Gas Refining & Marketing
STRS,Real Estate,Real Estate - Diversified
NVDA,Technology,Semiconductors
PSX,Energy,Oil & Gas Refining & Marketing
HG,Financial Services,Insurance - Reinsurance
CODA,Industrials,Aerospace & Defense
GM,Consumer Cyclical,Auto Manufacturers
MRK,Healthcare,Drug Manufacturers - General
MS,Financial Services,Capital Markets
EBAY,Consumer Cyclical,Internet Retail
NGVT,Basic Materials,Specialty Chemicals
PRSU,Consumer Cyclical,Travel Services
NTRS,Financial Services,Asset Management
VLY,Financial Services,Banks - Regional
CTRI,Utilities,Utilities - Regulated Gas
UDOW,その他,
LEA,Consumer Cyclical,Auto Parts
CIB,Financial Services,Banks - Regional
LZM,Basic Materials,Other Industrial Metals & Mining
RES,Energy,Oil & Gas Equipment & Services
FCX,Basic Materials,Copper
PGC,Financial Services,Banks - Regional
SRRK,Healthcare,Biotechnology
BG,Consumer Defensive,Farm Products
ESP,Industrials,Electrical Equipment & Parts
CNQ,Energy,Oil & Gas E&P
XLK,その他,
XWEL,Healthcare,Diagnostics & Research
OSCR,Healthcare,Healthcare Plans
PSMT,Consumer Defensive,Discount Stores
BNY,Financial Services,Banks - Diversified
CVS,Healthcare,Healthcare Plans
ODC,Basic Materials,Specialty Chemicals
AAPL,Technology,Consumer Electronics
QTEC,その他,
SPUU,その他,
TRS,Consumer Cyclical,Packaging & Containers
BWFG,Financial Services,Banks - Regional
IBKR,Financial Services,Capital Markets
CHGG,Consumer Defensive,Education & Training Services
LILA,Communication Services,Telecom Services
SSO,その他,
ALOT,Technology,Computer Hardware
ROBO,その他,
CMC,Industrials,Metal Fabrication
BMO,Financial Services,Banks - Diversified
CTS,Technology,Electronic Components
PAGP,Energy,Oil & Gas Midstream
JNJ,Healthcare,Drug Manufacturers - General
DAC,Industrials,Marine Shipping
WERN,Industrials,Trucking
P,Technology,Computer Hardware
HOFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ISSC,Industrials,Aerospace & Defense
LILAK,Communication Services,Telecom Services
MD,Healthcare,Medical Care Facilities
QBTS,Technology,Computer Hardware
VGT,その他,
RMR,Real Estate,Real Estate Services
AZZ,Industrials,Specialty Business Services
NPK,Industrials,Aerospace & Defense
FSBC,Financial Services,Banks - Regional
ASTH,Healthcare,Medical Care Facilities
HWM,Industrials,Aerospace & Defense
AGL,Healthcare,Medical Care Facilities
DXJ,その他,
FRAF,Financial Services,Banks - Regional
AVAL,Financial Services,Banks - Regional
CODI,Industrials,Conglomerates
EONR,Energy,Oil & Gas E&P
RBC,Industrials,Tools & Accessories
ICCC,Healthcare,Biotechnology
XOM,Energy,Oil & Gas Integrated
CBOE,Financial Services,Financial Data & Stock Exchanges
MEI,Technology,Electronic Components
AROC,Energy,Oil & Gas Equipment & Services
BYFC,Financial Services,Banks - Regional
EVR,Financial Services,Capital Markets
WST,Healthcare,Medical Instruments & Supplies
ACHV,Healthcare,Biotechnology
SENEB,Consumer Defensive,Packaged Foods
BIIB,Healthcare,Drug Manufacturers - General
INSG,Technology,Communication Equipment
YETI,Consumer Cyclical,Leisure
TLN,Utilities,Utilities - Independent Power Producers
BTI,Consumer Defensive,Tobacco
ASND,Healthcare,Biotechnology
BEN,Financial Services,Asset Management
AVIR,Healthcare,Biotechnology
PALU,その他,
AMTX,Basic Materials,Specialty Chemicals
CRC,Energy,Oil & Gas E&P
SFL,Industrials,Marine Shipping
NDSN,Industrials,Specialty Industrial Machinery
TOI,Healthcare,Medical Care Facilities
WHD,Energy,Oil & Gas Equipment & Services
UVE,Financial Services,Insurance - Property & Casualty
UBS,Financial Services,Banks - Diversified
EGBN,Financial Services,Banks - Regional
MSGM,Communication Services,Electronic Gaming & Multimedia
CHMG,Financial Services,Banks - Regional
AMX,Communication Services,Telecom Services
INCY,Healthcare,Biotechnology
NBN,Financial Services,Banks - Regional
DCOM,Financial Services,Banks - Regional
ROK,Industrials,Specialty Industrial Machinery
RRX,Industrials,Specialty Industrial Machinery
BPOP,Financial Services,Banks - Regional
LLY,Healthcare,Drug Manufacturers - General
CMT,Basic Materials,Specialty Chemicals
AMZZ,その他,
CSX,Industrials,Railroads
SMFG,Financial Services,Banks - Diversified
VOD,Communication Services,Telecom Services
DTM,Energy,Oil & Gas Midstream
FNGG,その他,
IMKTA,Consumer Defensive,Grocery Stores
MANU,Communication Services,Entertainment
VTOL,Energy,Oil & Gas Equipment & Services
GVA,Industrials,Engineering & Construction
CUBI,Financial Services,Banks - Regional
SOBO,Energy,Oil & Gas Midstream
CVX,Energy,Oil & Gas Integrated
QUAD,Industrials,Specialty Business Services
TDIV,その他,
COP,Energy,Oil & Gas E&P
TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CRWL,その他,
TMP,Financial Services,Banks - Regional
WAVE,Utilities,Utilities - Renewable
FSEA,Financial Services,Banks - Regional
CFFN,Financial Services,Banks - Regional
SMHI,Industrials,Marine Shipping
SNDR,Industrials,Trucking
FBNC,Financial Services,Banks - Regional
KRNY,Financial Services,Banks - Regional
BSRR,Financial Services,Banks - Regional
CVU,Industrials,Aerospace & Defense
FISI,Financial Services,Banks - Regional
NRC,Healthcare,Health Information Services
CCNE,Financial Services,Banks - Regional
NTAP,Technology,Software - Infrastructure
LQDT,Consumer Cyclical,Internet Retail
MAR,Consumer Cyclical,Lodging
POWI,Technology,Semiconductors
XSOE,その他,
AMZU,その他,
IEMG,その他,
ILDR,その他,
ULS,Industrials,Specialty Business Services
KOMP,その他,
KEY,Financial Services,Banks - Regional
SHBI,Financial Services,Banks - Regional
VIV,Communication Services,Telecom Services
HCSG,Healthcare,Medical Care Facilities
OBK,Financial Services,Banks - Regional
FCVT,その他,
TRP,Energy,Oil & Gas Midstream
BOKF,Financial Services,Banks - Regional
DVA,Healthcare,Medical Care Facilities
FFIC,Financial Services,Banks - Regional
FPXI,その他,
MUFG,Financial Services,Banks - Diversified
OSUR,Healthcare,Medical Instruments & Supplies
ESCA,Consumer Cyclical,Leisure
SRBK,Financial Services,Banks - Regional
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic
VNM,その他,
NCSM,Energy,Oil & Gas Equipment & Services
QQQJ,その他,
QRVO,Technology,Semiconductors
EXPD,Industrials,Integrated Freight & Logistics
RUSHA,Consumer Cyclical,Auto & Truck Dealerships
FPX,その他,
ILF,その他,
VFC,Consumer Cyclical,Apparel Manufacturing
IWM,その他,
AMAL,Financial Services,Banks - Regional
ITWO,その他,
JCI,Industrials,Building Products & Equipment
NVYY,その他,
IOO,その他,
QQQM,その他,
DKS,Consumer Cyclical,Specialty Retail
LSBK,Financial Services,Banks - Regional
QQQ,その他,
TNL,Consumer Cyclical,Travel Services
GDOT,Financial Services,Credit Services
RSVR,Communication Services,Entertainment
AMBA,Technology,Semiconductor Equipment & Materials
DBRG,Financial Services,Asset Management
FIBK,Financial Services,Banks - Regional
NC,Energy,Thermal Coal
EPOL,その他,
MSM,Industrials,Industrial Distribution
VTWG,その他,
PLGO,Financial Services,Insurance - Diversified
WLFC,Industrials,Rental & Leasing Services
RNRG,その他,
THFF,Financial Services,Banks - Regional
BANC,Financial Services,Banks - Regional
ALRS,Financial Services,Banks - Regional
NVST,Healthcare,Medical Instruments & Supplies
PFG,Financial Services,Asset Management
AVUV,その他,
PFS,Financial Services,Banks - Regional
ABCB,Financial Services,Banks - Regional
OVLY,Financial Services,Banks - Regional
OVBC,Financial Services,Banks - Regional
PDLB,Financial Services,Banks - Regional
CAR,Industrials,Rental & Leasing Services
FFIV,Technology,Software - Infrastructure
IBB,その他,
LNTH,Healthcare,Drug Manufacturers - Specialty & Generic
BLX,Financial Services,Banks - Regional
IONQ,Technology,Computer Hardware
HUM,Healthcare,Healthcare Plans
OLN,Basic Materials,Chemicals
SPB,Consumer Defensive,Household & Personal Products
TCBI,Financial Services,Banks - Regional
NUVL,Healthcare,Biotechnology
TGT,Consumer Defensive,Discount Stores
NVS,Healthcare,Drug Manufacturers - General
AIT,Industrials,Industrial Distribution
IQQQ,その他,
LOB,Financial Services,Banks - Regional
SOTK,Technology,Scientific & Technical Instruments
EWZ,その他,
APT,Industrials,Building Products & Equipment
EBC,Financial Services,Banks - Regional
EGHT,Technology,Software - Application
FXL,その他,
MGY,Energy,Oil & Gas E&P
PUK,Financial Services,Insurance - Life
RBKB,Financial Services,Banks - Regional
BURL,Consumer Cyclical,Apparel Retail
STGW,Communication Services,Advertising Agencies
BKU,Financial Services,Banks - Regional
GSK,Healthcare,Drug Manufacturers - General
VC,Consumer Cyclical,Auto Parts
FITB,Financial Services,Banks - Regional
IWMI,その他,
ZTO,Industrials,Integrated Freight & Logistics
BCS,Financial Services,Banks - Diversified
ZION,Financial Services,Banks - Regional
MAGS,その他,
NTB,Financial Services,Banks - Diversified
NTLA,Healthcare,Biotechnology
AUB,Financial Services,Banks - Regional
FGD,その他,
UVSP,Financial Services,Banks - Regional
WSFS,Financial Services,Banks - Regional
EA,Communication Services,Electronic Gaming & Multimedia
WMB,Energy,Oil & Gas Midstream
H,Consumer Cyclical,Lodging
ARGX,Healthcare,Biotechnology
FOR,Real Estate,Real Estate - Development
MNST,Consumer Defensive,Beverages - Non-Alcoholic
APG,Industrials,Engineering & Construction
NYT,Communication Services,Publishing
EZA,その他,
JXN,Financial Services,Insurance - Life
NWE,Utilities,Utilities - Regulated Electric
CLST,Financial Services,Banks - Regional
RF,Financial Services,Banks - Regional
JCSE,Industrials,Specialty Industrial Machinery
LOGI,Technology,Computer Hardware
CTBI,Financial Services,Banks - Regional
MRBK,Financial Services,Banks - Regional
CEPI,その他,
CPF,Financial Services,Banks - Regional
SMBK,Financial Services,Banks - Regional
DOW,Basic Materials,Chemicals
SMP,Consumer Cyclical,Auto Parts
WMG,Communication Services,Entertainment
PBA,Energy,Oil & Gas Midstream
BEPC,Utilities,Utilities - Renewable
TUSK,Industrials,Conglomerates
HUN,Basic Materials,Chemicals
JLL,Real Estate,Real Estate Services
URI,Industrials,Rental & Leasing Services
VOOG,その他,
AZN,Healthcare,Drug Manufacturers - General
CRON,Healthcare,Drug Manufacturers - Specialty & Generic
CWEN,Utilities,Utilities - Renewable
FEPI,その他,
QCRH,Financial Services,Banks - Regional
WSBK,Financial Services,Banks - Regional
LEE,Communication Services,Publishing
MTDR,Energy,Oil & Gas E&P
RDW,Industrials,Aerospace & Defense
TRN,Industrials,Railroads
HTB,Financial Services,Banks - Regional
QYLG,その他,
INDB,Financial Services,Banks - Regional
AVUS,その他,
AMTB,Financial Services,Banks - Regional
GLDM,その他,
SPSM,その他,
VIOO,その他,
BAR,その他,
FCCO,Financial Services,Banks - Regional
FTK,Energy,Oil & Gas Equipment & Services
IJR,その他,
MDU,Utilities,Utilities - Regulated Gas
UAL,Industrials,Airlines
YMAG,その他,
FHI,Financial Services,Asset Management
IAU,その他,
FONR,Healthcare,Diagnostics & Research
GLD,その他,
GNW,Financial Services,Insurance - Life
EVRG,Utilities,Utilities - Regulated Electric
FDM,その他,
ITT,Industrials,Specialty Industrial Machinery
KEX,Industrials,Marine Shipping
MATW,Industrials,Conglomerates
NSC,Industrials,Railroads
PH,Industrials,Specialty Industrial Machinery
VBK,その他,
BMY,Healthcare,Drug Manufacturers - General
AMN,Healthcare,Medical Care Facilities
FNKO,Consumer Cyclical,Leisure
BKH,Utilities,Utilities - Regulated Gas
EIX,Utilities,Utilities - Regulated Electric
FFBC,Financial Services,Banks - Regional
MTX,Basic Materials,Specialty Chemicals
USB,Financial Services,Banks - Regional
COLB,Financial Services,Banks - Regional
NOVT,Technology,Scientific & Technical Instruments
TCBK,Financial Services,Banks - Regional
BOTZ,その他,
EOG,Energy,Oil & Gas E&P
ALCO,Consumer Defensive,Farm Products
AMZN,Consumer Cyclical,Internet Retail
QQQI,その他,
ANIK,Healthcare,Drug Manufacturers - Specialty & Generic
MGK,その他,
MO,Consumer Defensive,Tobacco
BMRC,Financial Services,Banks - Regional
VEA,その他,
GL,Financial Services,Insurance - Life
PNC,Financial Services,Banks - Regional
TFSL,Financial Services,Banks - Regional
VIRT,Financial Services,Capital Markets
CCSI,Technology,Software - Infrastructure
SPDW,その他,
HLT,Consumer Cyclical,Lodging
TRMK,Financial Services,Banks - Regional
BBJP,その他,
ODFL,Industrials,Trucking
AIPI,その他,
ETSY,Consumer Cyclical,Internet Retail
MRTN,Industrials,Trucking
GOLF,Consumer Cyclical,Leisure
BUSE,Financial Services,Banks - Regional
EFSI,Financial Services,Banks - Regional
TEL,Technology,Electronic Components
VEU,その他,
VXUS,その他,
FNB,Financial Services,Banks - Regional
RMAX,Real Estate,Real Estate Services
VUG,その他,
BCAL,Financial Services,Banks - Regional
NBIX,Healthcare,Drug Manufacturers - Specialty & Generic
CAC,Financial Services,Banks - Regional
IVV,その他,
OSBC,Financial Services,Banks - Regional
VOO,その他,
BY,Financial Services,Banks - Regional
NJR,Utilities,Utilities - Regulated Gas
SPTM,その他,
VT,その他,
VV,その他,
ACWI,その他,
NFBK,Financial Services,Banks - Regional
VTHR,その他,
VONV,その他,
TUR,その他,
VIOG,その他,
COSO,Financial Services,Banks - Regional
IVOG,その他,
PFIS,Financial Services,Banks - Regional
VONG,その他,
IDHQ,その他,
NFXS,その他,
CCBG,Financial Services,Banks - Regional
VIS,その他,
CPRX,Healthcare,Biotechnology
ELDN,Healthcare,Biotechnology
LEVI,Consumer Cyclical,Apparel Manufacturing
RDVI,その他,
GLRE,Financial Services,Insurance - Reinsurance
STBA,Financial Services,Banks - Regional
SPEM,その他,
LBTYA,Communication Services,Telecom Services
DGS,その他,
FAF,Financial Services,Insurance - Specialty
NNBR,Industrials,Conglomerates
CLH,Industrials,Waste Management
RDWR,Technology,Software - Infrastructure
GMF,その他,
LLYVA,Communication Services,Entertainment
EE,Energy,Oil & Gas Midstream
SRCE,Financial Services,Banks - Regional
MFC,Financial Services,Insurance - Life
BFC,Financial Services,Banks - Regional
D,Utilities,Utilities - Regulated Electric
DHS,その他,
SPYI,その他,
CIG,Utilities,Utilities - Regulated Electric
MTCH,Communication Services,Internet Content & Information
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic
HDV,その他,
GKOS,Healthcare,Medical Devices
MPB,Financial Services,Banks - Regional
VNOM,Energy,Oil & Gas Midstream
BAK,Basic Materials,Chemicals
COM,その他,
WASH,Financial Services,Banks - Regional
ACTG,Industrials,Business Equipment & Supplies
PEBO,Financial Services,Banks - Regional
WDIV,その他,
RUSHB,Consumer Cyclical,Auto & Truck Dealerships
WCMI,その他,
PPH,その他,
DRN,その他,
FCF,Financial Services,Banks - Regional
POR,Utilities,Utilities - Regulated Electric
BHB,Financial Services,Banks - Regional
SDVD,その他,
HBT,Financial Services,Banks - Regional
PLBC,Financial Services,Banks - Regional
SXT,Basic Materials,Specialty Chemicals
LNT,Utilities,Utilities - Regulated Electric
EWM,その他,
POWW,Industrials,Aerospace & Defense
EXI,その他,
NRXP,Healthcare,Biotechnology
DGRW,その他,
MCBS,Financial Services,Banks - Regional
FBIZ,Financial Services,Banks - Regional
HFWA,Financial Services,Banks - Regional
NWBI,Financial Services,Banks - Regional
IXP,その他,
BATRA,Communication Services,Entertainment
RAMP,Technology,Software - Infrastructure
AAP,Consumer Cyclical,Auto Parts
ESGD,その他,
IVOV,その他,
LMAT,Healthcare,Medical Instruments & Supplies
FFEB,その他,
MNSB,Financial Services,Banks - Regional
FMAO,Financial Services,Banks - Regional
MRX,Financial Services,Capital Markets
NGG,Utilities,Utilities - Regulated Electric
BFST,Financial Services,Banks - Regional
SFD,Consumer Defensive,Packaged Foods
FTHI,その他,
XYLD,その他,
BBRE,その他,
HEZU,その他,
LBTYK,Communication Services,Telecom Services
FAUG,その他,
FCBC,Financial Services,Banks - Regional
WABC,Financial Services,Banks - Regional
NTR,Basic Materials,Agricultural Inputs
SPYD,その他,
CIBR,その他,
DEC,Energy,Oil & Gas Integrated
WEST,Consumer Defensive,Packaged Foods
IEV,その他,
MASI,Healthcare,Medical Devices
AUR,Consumer Cyclical,Auto Parts
EPP,その他,
SAH,Consumer Cyclical,Auto & Truck Dealerships
ENIC,Utilities,Utilities - Regulated Electric
NBHC,Financial Services,Banks - Regional
DDI,Communication Services,Electronic Gaming & Multimedia
IBOC,Financial Services,Banks - Regional
AFG,Financial Services,Insurance - Property & Casualty
EFSC,Financial Services,Banks - Regional
SPFI,Financial Services,Banks - Regional
VTMX,Real Estate,Real Estate - Development
PFBC,Financial Services,Banks - Regional
KYIV,Communication Services,Telecom Services
FEZ,その他,
GABC,Financial Services,Banks - Regional
JAKK,Consumer Cyclical,Leisure
TNC,Industrials,Specialty Industrial Machinery
FELE,Industrials,Specialty Industrial Machinery
HACK,その他,
SLF,Financial Services,Insurance - Diversified
NIC,Financial Services,Banks - Regional
SEM,Healthcare,Medical Care Facilities
FMAY,その他,
RBCAA,Financial Services,Banks - Regional
IXG,その他,
PKG,Consumer Cyclical,Packaging & Containers
HEDJ,その他,
PCEF,その他,
IAC,Communication Services,Internet Content & Information
CPIX,Healthcare,Drug Manufacturers - Specialty & Generic
KOF,Consumer Defensive,Beverages - Non-Alcoholic
YYY,その他,
RTH,その他,
HTO,Utilities,Utilities - Regulated Water
SMC,Energy,Oil & Gas Midstream
USCB,Financial Services,Banks - Regional
UTI,Consumer Defensive,Education & Training Services
MOO,その他,
CACC,Financial Services,Credit Services
CLFD,Technology,Communication Equipment
RDCM,Communication Services,Telecom Services
FMNB,Financial Services,Banks - Regional
GIII,Consumer Cyclical,Apparel Manufacturing
NNI,Financial Services,Credit Services
VCR,その他,
CEPT,Financial Services,Shell Companies
FTV,Technology,Scientific & Technical Instruments
SON,Consumer Cyclical,Packaging & Containers
FF,Basic Materials,Specialty Chemicals
RDN,Financial Services,Insurance - Specialty
TEO,Communication Services,Telecom Services
CVBF,Financial Services,Banks - Regional
QSR,Consumer Cyclical,Restaurants
IBCP,Financial Services,Banks - Regional
WRLD,Financial Services,Credit Services
EMB,その他,
OFG,Financial Services,Banks - Regional
LTH,Consumer Cyclical,Leisure
FDN,その他,
EMBD,その他,
ELD,その他,
HYEM,その他,
FALN,その他,
TBRG,Healthcare,Health Information Services
SEIC,Financial Services,Asset Management
EMLC,その他,
LEMB,その他,
HYZD,その他,
CHCO,Financial Services,Banks - Regional
UNM,Financial Services,Insurance - Life
ELV,Healthcare,Healthcare Plans
PRK,Financial Services,Banks - Regional
JNK,その他,
KFRC,Industrials,Staffing & Employment Services
PPL,Utilities,Utilities - Regulated Electric
BANR,Financial Services,Banks - Regional
TOWN,Financial Services,Banks - Regional
HYG,その他,
MSFD,その他,
VEON,Communication Services,Telecom Services
SPMB,その他,
FTCB,その他,
HYLS,その他,
USIG,その他,
DAX,その他,
AGGY,その他,
LNG,Energy,Oil & Gas Midstream
BKLN,その他,
SRLN,その他,
SPIB,その他,
FTSL,その他,
SPAB,その他,
BBAG,その他,
EBND,その他,
FSIG,その他,
IGSB,その他,
SPIP,その他,
SPSB,その他,
FACT,その他,
ACEL,Consumer Cyclical,Gambling
SPTS,その他,
VGSH,その他,
GPAT,Financial Services,Shell Companies
KTB,Consumer Cyclical,Apparel Manufacturing
IAGG,その他,
AWR,Utilities,Utilities - Regulated Water
CBNK,Financial Services,Banks - Regional
UTL,Utilities,Utilities - Diversified
MGRC,Industrials,Rental & Leasing Services
GRVY,Communication Services,Electronic Gaming & Multimedia
RELY,Technology,Software - Infrastructure
CCIX,Financial Services,Shell Companies
CGNT,Technology,Software - Infrastructure
KRT,Consumer Cyclical,Packaging & Containers
SOGP,Communication Services,Internet Content & Information
TNGX,Healthcare,Biotechnology
HYMC,Basic Materials,Gold
ONDS,Technology,Communication Equipment
NUAI,Technology,Software - Infrastructure
CRML,Basic Materials,Other Industrial Metals & Mining
BNAI,Technology,Software - Infrastructure
ANRO,Healthcare,Biotechnology
IRWD,Healthcare,Drug Manufacturers - Specialty & Generic
COGT,Healthcare,Biotechnology
ANL,Healthcare,Biotechnology
IREN,Financial Services,Capital Markets
VRTL,その他,
CURR,Technology,Software - Application
LAR,Basic Materials,Other Industrial Metals & Mining
PHOE,Industrials,Engineering & Construction
PRLD,Healthcare,Biotechnology
GLUE,Healthcare,Biotechnology
KEEL,Technology,Information Technology Services
ALMS,Healthcare,Biotechnology
ARMP,Healthcare,Biotechnology
RDNW,Consumer Cyclical,Auto & Truck Dealerships
GRDX,Healthcare,Biotechnology
CGTX,Healthcare,Biotechnology
IRD,Healthcare,Biotechnology
TYGO,Technology,Solar
BIOA,Healthcare,Drug Manufacturers - Specialty & Generic
IPSC,Healthcare,Biotechnology
ESPR,Healthcare,Drug Manufacturers - Specialty & Generic
KZIA,Healthcare,Biotechnology
CNTX,Healthcare,Biotechnology
CHRN,Technology,Information Technology Services
OMER,Healthcare,Biotechnology
USAS,Basic Materials,Other Industrial Metals & Mining
CRVS,Healthcare,Biotechnology
QTTB,Healthcare,Biotechnology
IMRX,Healthcare,Biotechnology
NAUT,Healthcare,Biotechnology
ASTI,Technology,Solar
UUUU,Energy,Uranium
UAMY,Basic Materials,Other Industrial Metals & Mining
SRZN,Healthcare,Biotechnology
AG,Basic Materials,Silver
MP,Basic Materials,Other Industrial Metals & Mining
FTRE,Healthcare,Biotechnology
RHLD,Industrials,Specialty Business Services
DWSN,Energy,Oil & Gas Equipment & Services
JBIO,Healthcare,Biotechnology
STOK,Healthcare,Biotechnology
CNTB,Healthcare,Biotechnology
TRON,Consumer Cyclical,Leisure
ALB,Basic Materials,Specialty Chemicals
BODI,Communication Services,Internet Content & Information
VNCE,Consumer Cyclical,Apparel Manufacturing
PHAT,Healthcare,Biotechnology
CAPR,Healthcare,Biotechnology
PTHS,Healthcare,Biotechnology
HYPR,Healthcare,Medical Devices
NMRA,Healthcare,Biotechnology
USAR,Basic Materials,Other Industrial Metals & Mining
IDR,Basic Materials,Gold
KYMR,Healthcare,Biotechnology
MUX,Basic Materials,Other Precious Metals & Mining
TCMD,Healthcare,Medical Devices
SY,Healthcare,Health Information Services
MBX,Healthcare,Biotechnology
CNTN,Healthcare,Biotechnology
CAMT,Technology,Semiconductor Equipment & Materials
ALOY,Basic Materials,Other Industrial Metals & Mining
AMLX,Healthcare,Drug Manufacturers - Specialty & Generic
IMNM,Healthcare,Biotechnology
LUMN,Communication Services,Telecom Services
SGML,Basic Materials,Other Industrial Metals & Mining
ANNX,Healthcare,Biotechnology
AXG,Financial Services,Capital Markets
MAZE,Healthcare,Biotechnology
FDMT,Healthcare,Biotechnology
PRPO,Healthcare,Diagnostics & Research
IAG,Basic Materials,Gold
SA,Basic Materials,Gold
NRXS,Healthcare,Biotechnology
PALI,Healthcare,Biotechnology
LIDR,Technology,Software - Infrastructure
WILC,Consumer Defensive,Food Distribution
SLNH,Financial Services,Capital Markets
FBYD,Industrials,Conglomerates
AMRC,Industrials,Engineering & Construction
BVN,Basic Materials,Other Precious Metals & Mining
SHIM,Industrials,Engineering & Construction
EYPT,Healthcare,Biotechnology
CDE,Basic Materials,Gold
PAAS,Basic Materials,Gold
CAMP,Healthcare,Biotechnology
BLTE,Healthcare,Biotechnology
